,item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
755,Onion Brown 2Kg Large,Pantry Staples,Condiments,3.5,4.5,1.0,1731.0,7789.5,1731.0
399,Diced Tomatoes,Pantry Staples,Pasta,0.6800000000000054,0.9900000000000061,0.31000000000000166,973.0,963.2700000000035,301.6300000000011
790,Passata 700G,Pantry Staples,Pasta,1.0,1.490000000000007,0.4900000000000034,638.0,950.6200000000044,312.6200000000016
754,Onion Brown 10Kg,Pantry Staples,Condiments,2.5,7.989999999999879,5.489999999999924,624.0,4985.759999999929,3425.759999999956
820,Peeled Plum Tomatoes,Pantry Staples,Pasta,0.6800000000000044,0.9900000000000038,0.3100000000000012,519.0,513.8100000000013,160.89000000000033
751,Olive Oil Rusk 350G,Pantry Staples,Oil,3.0,4.200000000000029,1.1999999999999922,453.0,1902.60000000001,543.5999999999973
914,Red Split Lentils 1Kg Pattu,Pantry Staples,Grains And Pulses,1.75,3.5,1.75,445.0,1557.5,778.75
185,Chick Peas 400G,Pantry Staples,Grains And Pulses,0.9099999999999971,1.290000000000004,0.3799999999999989,432.0,557.280000000001,164.15999999999943
756,Onion Brown 2Kg Small,Pantry Staples,Condiments,1.0,2.600000000000015,1.6000000000000105,367.0,954.2000000000053,587.2000000000037
282,Daawat Everyday5Kg,Pantry Staples,Rice,9.25,12.0,2.75,286.0,3432.0,786.5
624,Magi Coconut Powder 1Kg,Pantry Staples,Cocunut Products,11.300000000000038,14.989999999999897,3.6900000000000253,276.0,4137.2399999999725,1018.4400000000068
979,Soya Meet Prawn 90G,Pantry Staples,Canned Food,1.0,1.990000000000004,0.9899999999999987,243.0,483.57000000000056,240.56999999999988
978,Soya Meat Chicken,Pantry Staples,Canned Food,1.0,1.990000000000004,0.9899999999999989,228.0,453.720000000001,225.71999999999974
297,Delmage Soyameat Mutton 90G,Pantry Staples,Canned Food,1.0,1.9900000000000033,0.9899999999999978,196.0,390.0400000000003,194.04
398,Devaaya 5Kg,Pantry Staples,Rice,11.0,14.5,3.5,196.0,2842.0,686.0
915,Red Split Lentils 2Kg,Pantry Staples,Grains And Pulses,0.0,6.0,6.0,191.0,1146.0,1146.0
296,Delmage Soyameat Curry,Pantry Staples,Canned Food,1.0,1.9900000000000035,0.9899999999999979,191.0,380.09000000000043,189.08999999999992
512,Green Lentils 500G,Pantry Staples,Pulses And Grains,2.199999999999993,3.5,1.300000000000004,189.0,661.5,245.7000000000007
184,Chick Peas 1Kg Pattu,Pantry Staples,Grains And Pulses,2.1999999999999935,3.990000000000007,1.79,175.0,698.2500000000011,313.2500000000002
1080,Vanila Twists 250G,Pantry Staples,Sugar,3.300000000000008,4.536363636,1.2363636359999954,174.0,789.3272726640001,215.1272726639994
191,Chickpeas Large 500G,Pantry Staples,Grains And Pulses,2.5,3.490000000000006,0.9899999999999995,160.0,558.400000000001,158.39999999999998
423,Egg Pasta Medium 250G,Pantry Staples,Pasta,1.5999999999999965,2.490000000000004,0.8900000000000005,149.0,371.0100000000006,132.61
339,Derana Jack Mackerel 425G,Pantry Staples,Canned Fish,2.949999999999993,3.850000000000009,0.9000000000000018,143.0,550.5500000000011,128.70000000000024
960,Semolina Coarse 500G,Pantry Staples,Flour,1.4000000000000032,2.199999999999995,0.7999999999999982,143.0,314.5999999999994,114.39999999999979
233,Coconut Fine 500G,Pantry Staples,Coconut Products,3.0,3.9900000000000064,0.9899999999999981,138.0,550.6200000000009,136.61999999999983
902,Red Lentils 500G,Pantry Staples,Grains And Pulses,1.900000000000004,2.9900000000000055,1.0900000000000025,138.0,412.62000000000074,150.42000000000036
794,Pasta,Pantry Staples,Pasta,3.5,5.0,1.5,137.0,685.0,205.5
980,Spaghetti No.4,Pantry Staples,Pasta,0.9099999999999979,1.200000000000002,0.2899999999999994,137.0,164.40000000000006,39.72999999999993
67,Barlotti Beans 500G,Pantry Staples,Grains And Pulses,2.1999999999999957,3.5,1.299999999999999,137.0,479.5,178.10000000000016
1115,Wijaya Chilli Powder250G,Pantry Staples,Spices,2.1999999999999944,3.5,1.3000000000000018,136.0,476.0,176.80000000000024
107,Blackeye Beans 500G,Pantry Staples,Spices,2.199999999999995,3.9900000000000064,1.7899999999999978,136.0,542.6400000000008,243.4399999999997
351,Derana Mackerel 425G,Pantry Staples,Canned Fish,2.0,2.990000000000005,0.9899999999999982,134.0,400.66000000000065,132.65999999999983
926,Rigatoni No.58,Pantry Staples,Pasta,0.0,0.9899999999999982,0.9899999999999982,133.0,131.66999999999985,131.66999999999985
901,Red Kidney Beans 400G,Pantry Staples,Pulses And Grains,0.9099999999999978,1.2900000000000023,0.3800000000000003,132.0,170.28000000000003,50.16000000000008
126,Brown Onion 1Kg,Pantry Staples,Condiments,1.5,1.2000000000000002,-0.30000000000000004,132.0,158.40000000000012,-39.60000000000003
844,Plain Flour 5Kg,Pantry Staples,Flour,7.5,9.990000000000007,2.4900000000000047,131.0,1308.690000000001,326.1900000000006
151,Cannelini Beans 400G,Pantry Staples,Grains And Pulses,0.0,1.290000000000001,1.290000000000001,131.0,168.99000000000007,168.99000000000007
619,Maccheroni No.32,Pantry Staples,Pasta,0.790000000000001,1.2000000000000015,0.4099999999999991,131.0,157.2,53.70999999999989
1079,Vanila Powder 15G,Pantry Staples,Sugar,0.7999999999999983,1.9900000000000024,1.1899999999999984,130.0,258.7000000000003,154.6999999999998
1064,Trivelle No.17,Pantry Staples,Pasta,0.7900000000000013,1.200000000000001,0.409999999999999,126.0,151.20000000000005,51.6599999999999
247,Cooking Sauce,Pantry Staples,Condiments,1.2999999999999998,1.9900000000000027,0.6899999999999988,124.0,246.76000000000028,85.55999999999986
962,Semolina Fine 500G,Pantry Staples,Flour,1.4000000000000021,2.1999999999999975,0.7999999999999986,122.0,268.39999999999947,97.59999999999988
1107,Whole Chilli 100G,Pantry Staples,Spices,1.4000000000000028,2.5,1.0999999999999976,119.0,297.5,130.8999999999997
237,Coconut Shreded 500G,Pantry Staples,Coconut Products,3.0,3.990000000000006,0.9899999999999981,117.0,466.8300000000007,115.82999999999979
1087,Virgin Coconut Oil Organic Frank,Pantry Staples,Oil,4.0799999999999965,4.9900000000000055,0.9099999999999978,113.0,563.8700000000007,102.82999999999976
822,Penne Rigati No.18,Pantry Staples,Pasta,0.0,1.200000000000002,1.200000000000002,113.0,135.6000000000001,135.6000000000001
1112,Wijaya Chilli Pieces 250G,Pantry Staples,Spices,2.1999999999999957,3.5,1.2999999999999996,111.0,388.5,144.29999999999995
823,Pennette No.59,Pantry Staples,Pasta,0.0,1.200000000000002,1.200000000000002,111.0,133.20000000000013,133.20000000000013
329,Derana Garlic & Ginger 350G,Pantry Staples,Condiments,0.0,3.949999999999993,3.949999999999993,106.0,418.69999999999925,418.69999999999925
422,Egg Pasta Large 250G,Pantry Staples,Pasta,1.5999999999999979,2.490000000000001,0.8900000000000003,105.0,261.45,93.45000000000003
508,Great Northern Beans 500G,Pantry Staples,Pulses And Grains,1.699999999999999,2.990000000000004,1.2900000000000027,104.0,310.96000000000043,134.16000000000022
683,Mdk Red Sting Hopper Flour 700G,Pantry Staples,Flour,1.6500000000000028,2.9900000000000038,1.3400000000000025,104.0,310.9600000000004,139.36000000000024
795,Pasta Long,Pantry Staples,Pasta,3.5,5.0,1.5,102.0,510.0,153.0
850,Polenta Fine 500G,Pantry Staples,Grains And Pulses,1.5999999999999974,2.6899999999999986,1.0900000000000023,101.0,271.6899999999999,110.09000000000019
153,Cannellini Beans 500G,Pantry Staples,Grains And Pulses,2.1999999999999966,3.2900000000000027,1.0900000000000023,100.0,329.00000000000034,109.00000000000024
600,Linguine No.1,Pantry Staples,Pasta,0.7899999999999994,1.2000000000000017,0.41000000000000003,99.0,118.80000000000014,40.58999999999999
330,Derana Garlic Crush 350G,Pantry Staples,Condiments,2.800000000000005,3.9900000000000055,1.1899999999999984,99.0,395.01000000000056,117.80999999999985
310,Derana Chilli Paste 350G,Pantry Staples,Spices,4.449999999999993,6.990000000000006,2.5399999999999974,98.0,685.0200000000007,248.91999999999976
716,Mung Beans 500G,Pantry Staples,Grains And Pulses,1.8000000000000012,2.490000000000003,0.6899999999999991,97.0,241.53000000000029,66.92999999999991
381,Derana Soya Chunks 500G,Pantry Staples,Pulses And Grains,2.8000000000000043,3.990000000000005,1.1899999999999986,95.0,379.0500000000004,113.04999999999988
1089,Virgin Olive Oil 4Lt,Pantry Staples,Oil,34.5,39.98999999999993,5.4900000000000055,94.0,3759.0599999999945,516.0600000000004
621,Maggi Coco 300G,Pantry Staples,Coconut Products,5.5,7.200000000000004,1.6999999999999993,93.0,669.6000000000004,158.09999999999994
903,Red Lentils Whole 500G,Pantry Staples,Grains And Pulses,1.900000000000003,2.590000000000003,0.6899999999999992,93.0,240.87000000000026,64.16999999999994
138,Butter Beans 400G,Pantry Staples,Grains And Pulses,0.9099999999999981,1.290000000000002,0.3799999999999997,93.0,119.97000000000017,35.34
1008,Sunflower Oil 5Lt,Pantry Staples,Oil,9.0,12.5,3.5,93.0,1162.5,325.5
1033,Tea Coconut Milk,Pantry Staples,Cocunut Products,1.5,2.1999999999999975,0.7000000000000012,90.0,197.99999999999977,63.00000000000009
989,Spirali No.55,Pantry Staples,Pasta,0.7899999999999994,1.2000000000000017,0.4100000000000001,90.0,108.00000000000013,36.89999999999999
134,Bucatini No.6,Pantry Staples,Pasta,0.0,1.2000000000000015,1.2000000000000015,88.0,105.6000000000001,105.6000000000001
466,Fusilli No.56,Pantry Staples,Pasta,0.7899999999999994,1.2000000000000017,0.4100000000000001,85.0,102.00000000000016,34.85
274,Cumin Seed 100G,Pantry Staples,Spices,1.3700000000000014,2.9900000000000033,1.6200000000000017,83.0,248.17000000000021,134.46000000000012
589,Lentils 400G,Pantry Staples,Pulses And Grains,0.9099999999999984,1.2900000000000014,0.37999999999999984,83.0,107.07000000000009,31.53999999999999
332,Derana Ginger Minced 350G,Pantry Staples,Condiments,2.800000000000004,3.990000000000005,1.1899999999999986,81.0,323.1900000000004,96.38999999999989
1,1Lt Coconut Oil,Pantry Staples,Oil,0.2800000000000001,14.0,13.720000000000011,80.0,1120.0,1097.6000000000004
112,Borlotti Beans 400G,Pantry Staples,Pulses And Grains,0.9099999999999984,1.2900000000000011,0.37999999999999984,80.0,103.20000000000007,30.399999999999988
1071,Turmeric Powder 100G,Pantry Staples,Spices,1.799999999999999,2.5,0.700000000000001,80.0,200.0,56.00000000000008
500,Gourmet Salt Crystals 1Kg,Pantry Staples,Spices,1.1999999999999997,1.9900000000000004,0.7899999999999995,80.0,159.19999999999996,63.2
1038,Tea Toor Dhal 1Kg,Pantry Staples,Grains And Pulses,1.790000000000002,2.9900000000000033,1.2000000000000017,78.0,233.22000000000025,93.60000000000012
1125,Wijaya Tumaric Powder 250G,Pantry Staples,Spices,2.699999999999997,3.5,0.7999999999999988,76.0,266.0,60.79999999999991
918,Renuka Coconut Milk Pdr 1Kg,Pantry Staples,Cocunut Products,11.399999999999986,15.0,3.5999999999999974,76.0,1140.0,273.5999999999998
256,Cous Cous 500G,Pantry Staples,Grains And Pulses,1.9399999999999984,2.990000000000003,1.0499999999999985,75.0,224.2500000000002,78.74999999999989
956,Self Raising 2Kg,Pantry Staples,Flour,3.0,4.5,1.5,74.0,333.0,111.0
186,Chick Peas R & S,Pantry Staples,Grains And Pulses,2.900000000000003,4.990000000000005,2.0900000000000025,74.0,369.26000000000033,154.66000000000017
470,Garlic & Ginger 1Kg,Pantry Staples,Spices,4.800000000000007,6.9900000000000055,2.1899999999999986,73.0,510.27000000000044,159.8699999999999
388,Derana Veg Red Coco Sambol 225G,Pantry Staples,Sauces,3.599999999999996,5.5,1.9000000000000026,73.0,401.5,138.70000000000016
729,Mustard Seed 100G,Pantry Staples,Spices,0.9900000000000001,3.0,2.0100000000000007,72.0,216.0,144.72000000000006
342,Derana Katta Sambol 350G,Pantry Staples,Condiments,4.899999999999998,6.5,1.599999999999998,72.0,468.0,115.19999999999986
385,Derana Tikiri Soya 250G,Pantry Staples,Pulses And Grains,1.75,2.49,0.7400000000000001,70.0,174.30000000000007,51.80000000000002
321,Derana Curry Powder 250G,Pantry Staples,Spices,1.9500000000000015,2.5900000000000025,0.6400000000000003,69.0,178.71000000000018,44.160000000000025
990,Sprats 150G Richmi,Pantry Staples,Rice,3.1999999999999975,4.990000000000005,1.7900000000000023,68.0,339.32000000000033,121.72000000000011
8,Adzuki Beans 500G,Pantry Staples,Grains And Pulses,2.0,2.6899999999999986,0.6899999999999996,68.0,182.9199999999999,46.91999999999998
966,Sesame Seeds 500G,Pantry Staples,Spices,3.0,3.9900000000000038,0.9900000000000005,68.0,271.3200000000003,67.32000000000002
1003,Sulthana 500G,Pantry Staples,Grains And Pulses,3.6699999999999946,4.990000000000005,1.3199999999999983,67.0,334.3300000000003,88.43999999999988
953,Seenisambol 350G Derana,Pantry Staples,Sauces,4.6,6.5,1.9000000000000021,67.0,435.5,127.30000000000014
176,Channa Dhall 1Kg,Pantry Staples,Grains And Pulses,2.1100000000000003,4.490000000000004,2.3799999999999977,66.0,296.34000000000026,157.07999999999987
286,Dark Red Kidney 500G,Pantry Staples,Grains And Pulses,2.2000000000000006,2.990000000000002,0.7899999999999994,66.0,197.34000000000017,52.13999999999996
1117,Wijaya Curry Powder 250G,Pantry Staples,Spices,2.599999999999997,3.5,0.899999999999999,65.0,227.5,58.499999999999936
1123,Wijaya Roasted Curry Powder 250G,Pantry Staples,Spices,2.800000000000002,3.9900000000000038,1.1899999999999988,65.0,259.35000000000025,77.34999999999992
348,Derana Lite Basmathi 1Kg,Pantry Staples,Rice,2.900000000000003,3.9900000000000038,1.0900000000000019,65.0,259.3500000000002,70.85000000000011
252,Coriender Powder 200G,Pantry Staples,Spices,1.3499999999999992,4.490000000000004,3.1399999999999952,65.0,291.85000000000025,204.09999999999968
446,Fine Salt 1Kg,Pantry Staples,Spices,1.2000000000000013,1.9899999999999982,0.7899999999999994,65.0,129.34999999999994,51.349999999999966
955,Select Basmathi 5Kg Daawat,Pantry Staples,Rice,15.75,20.0,4.25,64.0,1280.0,272.0
776,Papadam 200G Derana,Pantry Staples,Dry,2.25,3.5,1.25,64.0,224.0,80.0
159,Cardamom Green 100G,Pantry Staples,Spides,3.8000000000000043,4.990000000000005,1.1899999999999988,64.0,319.3600000000003,76.15999999999993
1113,Wijaya Chilli Pieces 500G,Pantry Staples,Spices,4.199999999999995,6.5,2.2999999999999994,62.0,403.0,142.59999999999997
462,Fried Sprats 160G,Pantry Staples,Sardines,5.0,6.5,1.5,62.0,403.0,93.0
1068,Turkish White Coarse Burgul 500G,Pantry Staples,Pulses And Grains,1.200000000000001,1.9899999999999984,0.7899999999999995,61.0,121.3899999999999,48.189999999999976
316,Derana Cinnamon Quills 50G,Pantry Staples,Spices,2.25,3.4900000000000024,1.2399999999999998,61.0,212.89000000000016,75.63999999999999
622,Maggi Coconut Milk Powder 125G,Pantry Staples,Coconut Products,1.950000000000002,3.5,1.5499999999999983,60.0,210.0,92.99999999999991
1132,Yellow Split Peas 500G,Pantry Staples,Grains And Pulses,1.4000000000000006,1.989999999999998,0.5900000000000001,60.0,119.3999999999999,35.40000000000001
682,Mdk Hopper Mix,Pantry Staples,Spices,1.7999999999999983,2.99,1.189999999999999,59.0,176.41000000000003,70.20999999999997
1011,Super Chef 5Kg,Pantry Staples,Rice,9.0,11.990000000000007,2.9900000000000007,59.0,707.4100000000004,176.40999999999997
439,Fennel Seed 50G,Pantry Staples,Spices,1.2000000000000013,1.9899999999999984,0.7899999999999994,59.0,117.40999999999991,46.609999999999964
1122,Wijaya Pppadam,Pantry Staples,Papad,1.799999999999998,2.5,0.7000000000000003,59.0,147.5,41.30000000000002
1035,Tea Dried Sprats 250G,Pantry Staples,Sardines,5.25,6.990000000000005,1.7399999999999987,58.0,405.4200000000003,100.91999999999996
309,Derana Chicken Curry Mix 375G,Pantry Staples,Spices,3.400000000000003,4.990000000000004,1.590000000000002,58.0,289.4200000000002,92.22000000000011
318,Derana Coconut Milk 400Ml,Pantry Staples,Coconut Products,1.5999999999999988,2.200000000000002,0.6000000000000006,58.0,127.60000000000011,34.80000000000003
1063,Trahanas Sour 500G,Pantry Staples,Pasta,2.800000000000001,3.9900000000000033,1.189999999999999,58.0,231.4200000000002,69.01999999999994
368,Derana R/Coco Sambol 300G,Pantry Staples,Sauce,3.900000000000004,5.5,1.5999999999999988,57.0,313.5,91.19999999999993
1114,Wijaya Chilli Powder 500G,Pantry Staples,Spices,4.199999999999996,6.5,2.2999999999999985,57.0,370.5,131.0999999999999
999,Sudu Kekulu5Kg Kandyan,Pantry Staples,Rice,8.75,11.990000000000007,3.240000000000001,56.0,671.4400000000004,181.44000000000008
356,Derana Muthu Samba 1Kg,Pantry Staples,Rice,2.150000000000002,3.5,1.35,56.0,196.0,75.60000000000001
625,Mahlepi Ground 15G,Pantry Staples,Flour,1.75,2.489999999999999,0.7399999999999992,56.0,139.44,41.44
1069,Turkish White Fine Burgul 500G,Pantry Staples,Pulses And Grains,1.200000000000001,1.9899999999999984,0.7899999999999995,56.0,111.4399999999999,44.239999999999974
1121,Wijaya Meat Curry Powder Mixture,Pantry Staples,Spices,3.9000000000000035,5.990000000000005,2.0900000000000025,55.0,329.4500000000002,114.95000000000012
308,Derana Cashew Curry 340G,Pantry Staples,Sauce,5.949999999999994,7.9900000000000055,2.040000000000002,55.0,439.4500000000003,112.20000000000013
302,Derana Basmathi 5Kg,Pantry Staples,Rice,11.35000000000001,14.799999999999988,3.449999999999998,55.0,813.9999999999994,189.7499999999999
96,Black Beans 500G,Pantry Staples,Pulses And Grains,1.7999999999999983,2.4899999999999984,0.6900000000000004,53.0,131.96999999999994,36.570000000000014
392,Derana White Raw Rice 1Kg,Pantry Staples,Rice,2.0999999999999983,3.5,1.4,53.0,185.5,74.19999999999999
292,Dearana Special Pappadam 100G,Pantry Staples,Dry,1.25,1.9899999999999989,0.7399999999999993,53.0,105.46999999999996,39.21999999999999
880,Pure Honey 1Kg,Pantry Staples,Baking,11.0,13.990000000000007,2.9900000000000007,53.0,741.4700000000004,158.47000000000003
851,Polos Ambula 350G,Pantry Staples,Sauces,3.6999999999999975,4.990000000000004,1.2899999999999996,52.0,259.4800000000002,67.07999999999998
473,Garlic Crush 1Kg,Pantry Staples,Spices,4.800000000000004,6.990000000000005,2.1899999999999986,51.0,356.49000000000024,111.68999999999993
750,Olive Oil Rusk,Pantry Staples,Oil,5.0,7.0,2.0,49.0,343.0,98.0
664,Md Extra Hot Chilli Sauce,Pantry Staples,Sauce,2.75,3.5,0.75,49.0,171.5,36.75
660,Md Coconut Milk 400Ml,Pantry Staples,Coconut Products,1.0,1.9899999999999989,0.9900000000000002,47.0,93.52999999999994,46.53000000000001
676,Md Tamarind Paste,Pantry Staples,Sauces,3.75,4.990000000000003,1.2400000000000004,47.0,234.53000000000014,58.28000000000002
307,Derana Buriyani Mix 375G,Pantry Staples,Spices,3.4000000000000026,4.990000000000003,1.5900000000000019,47.0,234.5300000000001,74.73000000000008
373,Derana Red Basmathi 1Kg,Pantry Staples,Rice,2.900000000000002,3.9900000000000015,1.0900000000000012,46.0,183.54000000000008,50.14000000000006
617,Macaroni 02,Pantry Staples,Pasta,1.7999999999999987,2.5999999999999983,0.8000000000000005,46.0,119.59999999999997,36.80000000000001
121,Broad Beans 500G,Pantry Staples,Pulses And Grains,1.7999999999999985,2.489999999999999,0.6900000000000004,46.0,114.53999999999995,31.740000000000016
406,Dried Fish Katta 200G,Pantry Staples,Dried Fish,5.800000000000003,7.5,1.7000000000000013,46.0,345.0,78.20000000000006
954,Sela Basmati 5Kg,Pantry Staples,Rice,11.5,15.0,3.5,46.0,690.0,161.0
819,Pecan Kernels 100G,Pantry Staples,Grains And Pulses,3.560000000000002,4.990000000000003,1.43,45.0,224.5500000000001,64.35
566,Kist Chilli Paste325G,Pantry Staples,Spices,4.5500000000000025,5.445454544999996,0.895454545,45.0,245.04545452499983,40.295454525
